pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date
55.245834,moderate,652.4167,476.5320213,5.15,12.829166,81.375,495,35.370834,05/04/2024
59.837498,high,604.5417,476.5320213,4.1291666,9.925,81.875,132,38.229168,06/04/2024
50.416668,moderate,610.5417,476.5320213,4.0916667,10.55,82.458336,76,32.545834,07/04/2024
57.808334,high,689.75,476.5320213,5.2291665,15.154167,73.541664,122,38.220833,08/04/2024
54.795834,moderate,723.75,476.5320213,4.8416667,13.162499,82.5,492,36.649998,09/04/2024
67.270836,high,683,476.5320213,6.9541664,11.441667,82,509,45.808334,10/04/2024
50.5,moderate,760.4583,476.5320213,4.945833,17.608334,78.375,355,34.725002,11/04/2024
49.645832,moderate,602.6667,476.5320213,2.8416665,8.145833,78.666664,171,33.975002,12/04/2024
43.325,moderate,647.5,476.5320213,2.9958334,11.025001,67.333336,63,29.391665,13/04/2024
39.379166,moderate,685.5417,476.5320213,3.3041668,11.9875,77.208336,81,26.775,14/04/2024
40.783333,moderate,786.0417,476.5320213,5.0875,16.074999,68.416664,115,27.754166,15/04/2024
35.662502,low,581.9167,476.5320213,3.125,10.3875,67.916664,99,23.7875,16/04/2024
32.045834,low,564.9583,476.5320213,3.1625001,10.841667,63.958332,444,21.0375,17/04/2024
47.120834,moderate,634.2083,476.5320213,4.4041667,15.008334,61.25,345,30.108332,18/04/2024
47.6375,moderate,563.4167,476.5320213,3.8333333,12.141666,58.541668,417,29.466667,19/04/2024
42.708332,moderate,575.1667,476.5320213,3.7833335,9.6125,71.125,243,26.7125,20/04/2024
33.920834,low,485.41666,476.5320213,3.0625,10.079166,61.166668,85,20.791666,21/04/2024
42.825,moderate,468.125,476.5320213,3.3416665,8.9875,69.166664,810,25.9,22/04/2024
44.408337,moderate,561.1667,476.5320213,3.9208333,11.962501,65.708336,555,28.275,23/04/2024
36.370834,low,463.79166,476.5320213,2.9208333,8.675,67.916664,413,23.354166,24/04/2024
41.004166,moderate,564.3333,476.5320213,3.7625,14.912499,54.5,350,26.1,25/04/2024
34.495834,low,462.125,476.5320213,2.7458334,9.779166,58.458332,449,22.095833,26/04/2024
49.662502,moderate,544.3333,476.5320213,4.1124997,13.2375,65.583336,216,31.783333,27/04/2024
49.045834,moderate,468.04166,476.5320213,3.2250001,8.929167,68.5,95,31.025,28/04/2024
39.87083,moderate,449.5,476.5320213,3.4958334,9.020833,63.125,705,25.154167,29/04/2024
38.341667,low,448.45834,476.5320213,4.2458334,9.595834,64.375,457,24.795832,30/04/2024
42.912502,moderate,539.4167,476.5320213,6.3458333,12.295834,66.958336,355,28.258333,01/05/2024
54.004166,moderate,392.41666,476.5320213,3.9916668,7.945833,60.541668,283,35.133335,02/05/2024
42.558334,moderate,595.4583,476.5320213,5.0333333,15.829166,57.833332,388,28.379166,03/05/2024
39.308334,moderate,490.04166,476.5320213,3.3999999,10.7625,65.25,68,25.7875,04/05/2024
34.345833,low,493,476.5320213,3.6041667,11.941667,68.208336,92,22.2125,05/05/2024
44.9375,moderate,600.4583,476.5320213,4.1,16.65,66.375,125,28.129166,06/05/2024
53.825,moderate,456.41666,476.5320213,3.95,7.7625003,77.041664,539,35.329166,07/05/2024
50.4375,moderate,508.25,476.5320213,3.9375,11.05,69.375,414,33.529167,08/05/2024
40.445835,moderate,375.25,476.5320213,2.8791666,5.775,78.625,447,26.920832,09/05/2024
34.075,low,483.375,476.5320213,3.8374999,11.145833,66.083336,97,23.204168,10/05/2024
32.1125,low,558.0833,476.5320213,4.4041667,14.095833,60.291668,178,21.987501,11/05/2024
26.304167,low,521.8333,476.5320213,4.2708335,14.041667,58.416668,66,18.2125,12/05/2024
34.783333,low,494.83334,476.5320213,3.4624999,11.408333,57.583332,666,23.720833,13/05/2024
27.487501,low,571.5833,476.5320213,4.454167,14.183333,66.75,436,18.808332,14/05/2024
30.908333,low,738.8333,476.5320213,6.2083335,21.054167,53.666668,366,21.4125,15/05/2024
37.883335,moderate,633.4583,476.5320213,6.7125,14.224999,82.083336,308,26.3125,16/05/2024
28.366667,low,464.58334,476.5320213,3.8708334,8.0125,68.833336,392,19.775,17/05/2024
28.045832,low,814.125,476.5320213,6.741667,22.179167,47.375,171,19.516666,18/05/2024
23.5875,low,500.45834,476.5320213,3.8208332,13.8125,56.833332,127,16.304167,19/05/2024
21.845833,low,436.91666,476.5320213,2.8999999,10.666667,54.75,674,15.008334,20/05/2024
17.645834,very low,461.25,476.5320213,4.5291667,8.966666,79.958336,465,12.337501,21/05/2024
21.258333,very low,651.375,476.5320213,5.3416667,17.658333,68.291664,102,14.875,22/05/2024
18.320833,very low,485.16666,476.5320213,4.766667,9.995833,79.375,307,12.8125,23/05/2024
8.870833,very low,352.625,476.5320213,6.0958333,10.183333,54.791668,366,6.2125,24/05/2024
9.416667,very low,370.41666,476.5320213,3.5791667,11.683333,36.166668,138,6.5750003,25/05/2024
8.679167,very low,312.45834,476.5320213,2.5458333,10.212501,30.625,120,6.045833,26/05/2024
10.633333,very low,432.16666,476.5320213,3.2250001,13.895833,28.416666,607,7.429167,27/05/2024
14.733334,very low,460.08334,476.5320213,3.3458335,13.658333,36.625,471,10.270833,28/05/2024
19.216667,very low,544,476.5320213,3.7083333,16.449999,37.375,473,13.408333,29/05/2024
23.633333,low,536.4583,476.5320213,3.6125,14.945834,44.875,321,15.604167,30/05/2024
36.787502,low,619.875,476.5320213,4.5208335,18.045834,62.041668,413,23.016668,31/05/2024
14.979167,very low,366.41666,476.5320213,2.7083333,9.941667,53.791668,147,9.983334,01/06/2024
12.966667,very low,402.5,476.5320213,3.6166668,13.416667,33.541668,64,9.058333,02/06/2024
14.791667,very low,644.9583,476.5320213,5.2375,20.095835,31.333334,90,10.4375,03/06/2024
20.254168,very low,657.3333,476.5320213,5.5791664,17.179167,37.708332,414,14.008334,04/06/2024
22.929167,low,475.20834,476.5320213,3.7291667,13.962501,44,341,15.3,05/06/2024
13.658333,very low,432.625,476.5320213,3.3791666,12.808333,38.75,270,9.599999,06/06/2024
14.966667,very low,510.16666,476.5320213,3.7625,14.849999,40.833332,356,10.566667,07/06/2024
20.995832,very low,736.5833,476.5320213,6.6875,23.345833,47.166668,148,14.508334,08/06/2024
21.620834,very low,395.41666,476.5320213,3.2041667,9.183333,62.083332,101,13.783333,09/06/2024
17.795834,very low,435.375,476.5320213,4.883333,10.316667,65.583336,606,12.416667,10/06/2024
10.029166,very low,307.08334,476.5320213,2.5416667,9.566667,35.75,352,7.058333,11/06/2024
9.587501,very low,389,476.5320213,2.6583333,11.5125,39.25,324,6.7666664,12/06/2024
10.2375,very low,347,476.5320213,2.5833333,10.729167,34.583332,306,7.129167,13/06/2024
8.933333,very low,387.66666,476.5320213,2.6583333,11.258334,34.75,345,6.2374997,14/06/2024
21.545832,very low,833.0417,476.5320213,6.695833,25.645834,44.583332,116,14.933333,15/06/2024
19.770834,very low,812.2083,476.5320213,5.7208333,22.233332,41.625,127,13.845833,16/06/2024
16.495832,very low,595.9167,476.5320213,4.3791666,16.916666,42.125,662,11.516666,17/06/2024
13.695834,very low,538.4583,476.5320213,4.025,12.766666,41.25,441,9.3,18/06/2024
13.1875,very low,413.33334,476.5320213,3.3999999,11.629167,37.958332,288,9.283334,19/06/2024
11.641666,very low,490.5,476.5320213,3.7416668,13.708333,31.666666,321,8.145833,20/06/2024
16.704166,very low,488.625,476.5320213,3.3125,12.983334,40.541668,387,11.724999,21/06/2024
20.933332,very low,533.0417,476.5320213,3.6083333,14.5125,48,106,14.491666,22/06/2024
20.375,very low,455.08334,476.5320213,3.5666666,13.033333,46.708332,113,14.308333,23/06/2024
18.300001,very low,462.91666,476.5320213,3.8999999,14.154167,38.083332,745,12.875,24/06/2024
