tempF,humidity,pm10,pm2_5_categories,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,date,pm2_5
65.68,68,33.791668,low,1314.6666,476.5320213,3.0083332,25.5625,68.666664,15,17/05/2023,22.758333
66.02,66,35.258335,low,1167.1666,476.5320213,2.8708334,23.154167,64.958336,27,18/05/2023,23.641668
66.81,65,35.204166,low,1173.4166,476.5320213,3.1375,22.291666,66.041664,23,19/05/2023,23.779167
67.03,66,27.845833,low,957.2917,476.5320213,2.2708333,20.358334,64.333336,12,20/05/2023,18.433332
67.44,67,32.162502,low,955.2083,476.5320213,2.1583333,19.341667,64.25,14,21/05/2023,21.420832
69.08,64,26.262499,low,534.9583,476.5320213,1.2666667,10.279166,74.625,25,22/05/2023,17.616667
68.94,67,29.970833,low,604.5417,476.5320213,1.5916667,12.133334,69.708336,22,23/05/2023,20.466667
66.27,76,27.591667,low,730.125,476.5320213,1.9666667,16.208334,62.833332,14,24/05/2023,18.820833
61.83,86,31.141665,low,704.1667,476.5320213,2.0958333,15.25,72.583336,15,25/05/2023,20.883333
68.18,67,24.895834,low,614.5,476.5320213,1.4125,13.75,61.75,25,26/05/2023,16.675001
69.17,62,28.779167,low,712.0417,476.5320213,1.6125001,16.116667,63.041668,18,27/05/2023,19.449999
69.33,62,31.395834,low,734.8333,476.5320213,2.4125001,15.804166,79.125,17,28/05/2023,21.383333
67.08,73,47.379166,moderate,1096.1666,476.5320213,4.9375,22.045832,86.291664,18,29/05/2023,32.745834
68,68,32.225002,low,920.2917,476.5320213,4.6666665,17.933332,92.75,24,30/05/2023,22.304167
66.87,74,21.454168,very low,587.8333,476.5320213,1.6999999,10.875,73,16,31/05/2023,14.8625
67.39,76,16.329166,very low,606.4167,476.5320213,1.5041666,13.291667,65.875,15,01/06/2023,11.391666
67.93,71,19.579166,very low,833.9167,476.5320213,1.7416667,14.8,61.583332,19,02/06/2023,13.625
67.82,68,22.85,low,1010.125,476.5320213,1.8833333,14.716667,54.208332,11,03/06/2023,15.770833
68,69,17.008333,very low,550.9583,476.5320213,1.3458333,12.837501,53,7,04/06/2023,11.729167
66.06,78,20.004168,very low,617.8333,476.5320213,1.5541667,14.116666,54.208332,22,05/06/2023,13.854167
66.6,77,21.737501,low,643.2917,476.5320213,1.6750001,15.329166,62.166668,19,06/06/2023,15.0625
