tempF,humidity,pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date
66.88,74,20.566668,very low,775.4167,476.5320213,1.6833334,16.958334,64.916664,236,14.279167,2023/06/12
65.98,77,11.145833,very low,471.54166,476.5320213,0.8458333,12.075,49.416668,236,7.808333,2023/06/13
65.75,74,13.075,very low,631.6667,476.5320213,1.25,15.104167,49.041668,220,9.150001,2023/06/14
64.96,79,20.1,very low,935.2083,476.5320213,2.0291667,19.745832,55.666668,141,14.070834,2023/06/15
66.69,75,20.870832,very low,951.75,476.5320213,2.0375001,17.045834,52.166668,161,14.429166,2023/06/16
67.84,73,16.945833,very low,818.125,476.5320213,1.9625,15.9375,44.875,54,11.666667,2023/06/17
69.4,68,17.104166,very low,766.9583,476.5320213,1.775,15.1875,53.166668,46,11.891666,2023/06/18
68.2,72,17.008333,very low,834.375,476.5320213,1.8833333,14.541667,43.791668,220,11.820834,2023/06/19
67.62,71,13.933333,very low,535.1667,476.5320213,1.6333333,12.2375,47.291668,287,9.729167,2023/06/20
66.6,73,15.733334,very low,958.7083,476.5320213,2.4041667,15.016666,37.958332,216,10.962501,2023/06/21
66.33,69,15.570834,very low,956.0417,476.5320213,2.5,15.170834,40,135,10.891666,2023/06/22
66.04,73,13.95,very low,748.5,476.5320213,1.8874999,11.591667,33.083332,128,9.758333,2023/06/23
67.12,71,16.954166,very low,1014.125,476.5320213,2.2166667,14.091667,34.708332,39,11.866666,2023/06/24
65.77,76,16.745832,very low,703.4167,476.5320213,2.1499999,18.6875,35.125,45,11.741666,2023/06/25
65.7,73,17.783333,very low,835.9167,476.5320213,1.65,23.762499,37.416668,268,12.470833,2023/06/26
66.78,72,17.716667,very low,458.875,476.5320213,2.8374999,12.595833,40.5,268,12.616666,2023/06/27
66.96,74,16.574999,very low,390.41666,476.5320213,3.2791665,11.849999,37.958332,175,11.775001,2023/06/28
67.19,76,19.7875,very low,418.16666,476.5320213,3.2875001,11.675,42.916668,109,13.916667,2023/06/29
67.14,74,21.470833,very low,561.7917,476.5320213,5.445833,14.099999,38.166668,140,14.8,2023/06/30
68.63,72,20.904167,very low,322.125,476.5320213,2.4875,9.233334,41.458332,42,14.037499,2023/07/01
69.22,71,14.258334,very low,315.20834,476.5320213,2.3875,8.5125,37.5,52,9.829166,2023/07/02
68.02,71,8.383333,very low,287,476.5320213,2.1416667,8.370833,31.458334,230,5.870833,2023/07/03
66.29,76,8.095834,very low,301.875,476.5320213,2.0125,8.520833,28.041666,243,5.6749997,2023/07/04
