"pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date"
"19.7875,very low,418.16666000000004,476.53202125,3.2875001,11.675,42.916668,214.0,13.916667,2023-06-29"
"21.470833,very low,561.7917,476.53202125,5.445833,14.099999,38.166668,320.0,14.8,2023-06-30"
"20.904167,very low,322.125,476.53202125,2.4875,9.233334,41.458332,149.0,14.037499,2023-07-01"
"14.258334,very low,315.20834,476.53202125,2.3875,8.5125,37.5,119.0,9.829166,2023-07-02"
"8.383333,very low,287.0,476.53202125,2.1416667,8.370833,31.458334,655.0,5.870833,2023-07-03"
"8.095834,very low,301.875,476.53202125,2.0125,8.520833,28.041666,471.0,5.6749997,2023-07-04"
"9.220833999999998,very low,347.29166,476.53202125,2.5041666000000005,9.349999,30.125,461.0,6.4583335,2023-07-05"
"13.308333,very low,525.2083,476.53202125,4.9458337,9.9375,31.833334,250.0,9.379167,2023-07-06"
"13.95,very low,442.25,476.53202125,3.8374998999999996,10.087501,35.291668,405.0,9.866667,2023-07-07"
"17.991667,very low,300.875,476.53202125,2.7250001,8.270833,48.875,128.0,12.858334,2023-07-08"
"18.733334,very low,335.25,476.53202125,4.5666666,9.133333,54.66666800000001,159.0,13.345833,2023-07-09"
"16.125,very low,411.75,476.53202125,3.7083333,13.383334,42.458332,609.0,11.325,2023-07-10"
"12.254167,very low,329.16666,476.53202125,2.3958333,9.433333,28.666666,383.0,8.775001,2023-07-11"
"13.295834,very low,658.1667,476.53202125,6.120833,14.258334,27.625,486.0,9.337501,2023-07-12"
"11.337501,very low,557.2083,476.53202125,4.7833333,11.229167,31.791666,220.0,7.9249997,2023-07-13"
"12.4375,very low,507.79166,476.53202125,3.9375,10.741666,34.416668,378.0,8.8875,2023-07-14"
"10.375,very low,422.375,476.53202125,3.0,9.104167,32.708332,170.0,7.3583336,2023-07-15"
"10.349999,very low,376.25,476.53202125,2.5208333,9.191667,28.958334,63.0,7.3333335,2023-07-16"
"17.8125,very low,370.70834,476.53202125,2.6333334,10.045834,47.75,704.0,12.337501000000001,2023-07-17"
"14.908333,very low,368.41666,476.53202125,2.425,8.5625,46.625,542.0,10.254167,2023-07-18"
"17.729166,very low,361.75,476.53202125,2.7083333,10.05,44.958332,504.0,12.345833,2023-07-19"
"18.495832,very low,549.0,476.53202125,3.9833333,15.0125,38.083332,242.0,12.95,2023-07-20"
"17.358334,very low,367.08334,476.53202125,3.0375001,9.870833,52.875,434.0,12.133334,2023-07-21"
"16.800001,very low,371.66666,476.53202125,3.7749999,9.116667,65.916664,257.0,11.770833,2023-07-22"
"25.0,low,519.6667,476.53202125,5.6375003,14.849999,67.041664,112.0,17.508333,2023-07-23"
"22.741667,low,569.7917,476.53202125,4.35,13.729167000000002,59.70833199999999,735.0,15.941667,2023-07-24"
"21.375,low,571.5417,476.53202125,4.5875,18.4,41.625,493.0,15.0125,2023-07-25"
"10.4875,very low,381.5,476.53202125,3.4583333,9.575,33.5,491.0,7.4708333,2023-07-26"
"7.6583333,very low,264.91666,476.53202125,2.0833333,7.5291667,34.625,306.0,5.4125,2023-07-27"
"6.3125,very low,263.20834,476.53202125,2.0583334,7.245833,31.791666,56.0,4.366667,2023-07-28"
"9.308333,very low,367.75,476.53202125,3.0,11.349999,28.125,163.0,6.5125003,2023-07-29"
"8.683333,very low,301.625,476.53202125,2.5916667,9.4875,35.666668,52.0,6.066667,2023-07-30"
"6.2083335,very low,238.95833,476.53202125,2.0666666,7.558333,35.916668,341.0,4.3416667,2023-07-31"
"8.733334,very low,394.91666,476.53202125,2.7875001,12.266666,30.166666,69.0,6.0916667,2023-08-01"
"11.408333,very low,420.04166,476.53202125,3.2666667,13.004167,36.916668,92.0,7.9500003,2023-08-02"
"11.6125,very low,474.33334,476.53202125,3.8208332,14.395833,34.25,263.0,8.070833,2023-08-03"
"10.695834,very low,476.625,476.53202125,3.3625,13.020833,30.583334,418.0,7.3125,2023-08-04"
"11.145833,very low,405.45834,476.53202125,2.9541667,11.425,30.0,122.0,7.4208336,2023-08-05"
"10.141665999999999,very low,383.125,476.53202125,2.9166667,11.395833,29.833334,103.0,6.7999997,2023-08-06"
"8.0125,very low,357.375,476.53202125,2.8833332,11.587501,29.583334,564.0,5.5875,2023-08-07"
"7.7625003,very low,370.875,476.53202125,2.8583333,12.666667000000002,27.333334000000004,443.0,5.433333,2023-08-08"
"10.629167,very low,538.9583,476.53202125,3.9875,14.304166,32.333332,459.0,7.3916664,2023-08-09"
"15.816667000000002,very low,684.4583,476.53202125,6.2291665,16.520834,39.458332,289.0,10.854167,2023-08-10"
"17.541666,very low,654.7917,476.53202125,5.6458335,13.650001,38.125,433.0,11.791667,2023-08-11"
"22.908333,low,640.4583,476.53202125,5.445833,14.295833999999997,35.125,75.0,15.054166000000002,2023-08-12"
"27.620834,low,686.125,476.53202125,5.4833336,14.8625,32.833332,74.0,17.866667,2023-08-13"
"19.370832,very low,765.7083,476.53202125,6.308333,17.225,32.125,112.0,13.412499,2023-08-14"
"19.658333,very low,597.6667,476.53202125,4.491667,17.383333,33.083332,656.0,13.820834,2023-08-15"
"17.254168,very low,481.79166,476.53202125,3.4416666,13.529167,37.333332,492.0,12.170834,2023-08-16"
"14.704165999999999,very low,447.75,476.53202125,3.1000001,13.483334000000001,40.833332,309.0,10.483334,2023-08-17"
"18.358334,very low,545.1667,476.53202125,3.9833333,11.337501,39.583332,378.0,13.054166000000002,2023-08-18"
"19.1,very low,448.0,476.53202125,3.2541666,10.008333,37.458332,178.0,13.545833999999997,2023-08-19"
"25.091667,low,407.5,476.53202125,2.7833335,10.491667,44.333332,100.0,17.704166,2023-08-20"
"15.620832999999998,very low,440.20834,476.53202125,3.5124999999999997,12.745833,39.333332,593.0,11.170834,2023-08-21"
"17.304167,very low,655.7083,476.53202125,5.7333336,17.512499,34.625,446.0,12.220833000000002,2023-08-22"
"17.583334,very low,714.7917000000001,476.53202125,6.6666665,18.012499,31.625,380.0,12.233334,2023-08-23"
"14.208333,very low,516.7917,476.53202125,3.7291667,12.087501,32.25,208.0,9.970834,2023-08-24"
"13.370833,very low,541.0,476.53202125,4.241667,10.2375,32.541668,375.0,9.133333,2023-08-25"
"9.766666,very low,438.79166,476.53202125,3.1458333,9.466666,32.958332,237.0,6.679167,2023-08-26"
"11.304166,very low,483.08334,476.53202125,4.1291666,10.129167,32.625,84.0,7.733333599999999,2023-08-27"
"12.829166,very low,478.91666,476.53202125,3.2583332000000005,11.483334,32.625,630.0,8.954166,2023-08-28"
"16.220833,very low,361.66666,476.53202125,2.8958333,9.5125,52.5,395.0,11.458333000000001,2023-08-29"
"14.033333,very low,365.58334,476.53202125,3.7833335,9.929167,55.958332,409.0,9.883333,2023-08-30"
"17.9,very low,543.7083,476.53202125,3.9624999,15.879167,44.916667999999994,203.0,12.587501,2023-08-31"
"19.545834,very low,504.58333999999996,476.53202125,3.2291667,13.058333,57.04166800000001,294.0,13.75,2023-09-01"
"23.591667,low,823.5833,476.53202125,5.9125,20.583334,55.791668,73.0,16.5,2023-09-02"
"30.733332,low,806.1667,476.53202125,5.804167,21.3125,71.0,115.0,21.479166,2023-09-03"
"25.558334,low,506.1666599999999,476.53202125,5.5833335,10.804166,93.333336,621.0,17.783333,2023-09-04"
"16.525,very low,458.04166,476.53202125,6.429167,11.75,63.208332,512.0,11.570834,2023-09-05"
"16.541666,very low,516.5417,476.53202125,4.991667,17.720833,33.666668,382.0,11.6375,2023-09-06"
"16.708334,very low,412.25,476.53202125,2.9833333,11.595833,45.333332,199.0,11.708333,2023-09-07"
"17.170834,very low,422.875,476.53202125,3.4583333,11.929166,50.958332,389.0,12.070834,2023-09-08"
"15.070834000000001,very low,403.16666,476.53202125,3.2749999,9.891666,54.5,136.0,10.599999,2023-09-09"
"15.925,very low,495.95834,476.53202125,4.3083334,15.037499,37.958332,73.0,11.208333,2023-09-10"
"11.483334,very low,351.25,476.53202125,2.7458334,11.175,30.375,581.0,8.083333,2023-09-11"
"12.316666999999999,very low,509.20834,476.53202125,3.8958333,15.558333000000001,30.541666,346.0,8.645833,2023-09-12"
"13.416667000000002,very low,548.2917,476.53202125,4.3541665,16.833334,30.166665999999996,340.0,9.379167,2023-09-13"
